Post_ID,Timestamp,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,Total_Interactions,Verified_Engagement_Rate,Posting_Hour,Day,Peak_Time,Platform_Label,Content_Type_Label,Sentiment_Label,Influencer_Tier_Label,Day_of_Week_Label,Cluster,Cluster_Label,High_Engagement
POST_04552,2024-01-01 01:42:00,1,1,Business,8287,247,51,29502,20,223080,3.85,1,1,16,985,2,0,True,False,8605,29.099722052742187,1,Monday,Night,Instagram,Carousel,Positive,Macro,Monday,0,High Engagement,1
POST_02171,2024-01-01 05:05:00,2,3,Health,1711,27,247,24538,139,312647,0.63,5,1,9,627,0,0,False,True,2124,8.08949384627924,5,Monday,Morning,LinkedIn,Document,Negative,Macro,Monday,0,High Engagement,0
POST_00210,2024-01-01 09:18:00,1,1,Food,1527,191,7,5460,359,220737,0.78,9,1,27,79,2,0,True,True,2084,31.59340659340659,9,Monday,Morning,Instagram,Carousel,Positive,Macro,Monday,0,High Engagement,1
POST_01548,2024-01-01 10:58:00,0,16,Sports,535,178,433,68246,740,428935,0.27,10,1,17,554,1,0,True,False,1886,1.6792192949037306,10,Monday,Morning,Facebook,Video,Neutral,Macro,Monday,0,High Engagement,0
POST_01350,2024-01-01 13:12:00,1,6,Fitness,9706,35,118,25782,611,64384,15.31,13,1,5,1136,2,2,True,False,10470,38.239857264758356,13,Monday,Afternoon,Instagram,Photo,Positive,Mid-tier,Monday,0,High Engagement,1
POST_01582,2024-01-02 01:24:00,4,7,Sports,3767,83,522,59434,242,421886,1.04,1,5,19,1611,0,0,True,False,4614,7.356058821549954,1,Tuesday,Night,Twitter,Poll,Negative,Macro,Tuesday,0,High Engagement,0
POST_02656,2024-01-02 03:01:00,4,7,Lifestyle,1558,71,676,45929,92,259275,0.89,3,5,25,1406,0,0,True,False,2397,5.018615689433691,3,Tuesday,Night,Twitter,Poll,Negative,Macro,Tuesday,0,High Engagement,0
POST_00196,2024-01-02 16:59:00,4,14,Education,599,222,787,68904,314,30966,5.19,16,5,1,399,0,1,True,False,1922,2.3336816440264716,16,Tuesday,Afternoon,Twitter,Thread,Negative,Micro,Tuesday,0,High Engagement,0
POST_00749,2024-01-02 19:22:00,5,5,Food,6062,754,540,947740,1640,395761,1.86,19,5,22,109,1,0,False,False,8996,0.7761622385886424,19,Tuesday,Evening,YouTube,Live,Neutral,Macro,Tuesday,2,Low Engagement,0
POST_03049,2024-01-02 20:04:00,4,14,Travel,597,22,339,67556,74,478824,0.2,20,5,22,1445,1,0,True,True,1032,1.418082775771212,20,Tuesday,Evening,Twitter,Thread,Neutral,Macro,Tuesday,0,High Engagement,0
POST_04605,2024-01-02 20:22:00,3,16,Travel,18977,966,2147,8088,2235,241082,9.16,20,5,5,369,0,0,False,False,24325,273.12067260138474,20,Tuesday,Evening,TikTok,Video,Negative,Macro,Tuesday,1,Moderate Engagement,1
POST_02119,2024-01-02 21:41:00,1,1,Entertainment,1874,467,16,30977,688,67464,3.49,21,5,11,1458,2,2,True,True,3045,7.608871097911353,21,Tuesday,Night,Instagram,Carousel,Positive,Mid-tier,Tuesday,0,High Engagement,0
POST_00401,2024-01-02 21:55:00,1,6,Business,1867,125,281,44911,286,292298,0.78,21,5,6,1262,0,0,True,False,2559,5.061120883525194,21,Tuesday,Night,Instagram,Photo,Negative,Macro,Tuesday,0,High Engagement,0
POST_01803,2024-01-03 00:42:00,4,7,Sports,4926,205,1317,28491,466,148659,4.34,0,6,7,1597,1,0,True,False,6914,22.631708258748375,0,Wednesday,Night,Twitter,Poll,Neutral,Macro,Wednesday,0,High Engagement,0
POST_03737,2024-01-03 03:35:00,2,7,Lifestyle,1383,123,32,6603,59,190618,0.81,3,6,13,1506,1,0,False,False,1597,23.292442829017112,3,Wednesday,Night,LinkedIn,Poll,Neutral,Macro,Wednesday,0,High Engagement,0
POST_03162,2024-01-03 04:16:00,1,9,Education,8387,360,179,13360,945,499770,1.79,4,6,20,172,1,0,True,False,9871,66.81137724550898,4,Wednesday,Night,Instagram,Reel,Neutral,Macro,Wednesday,0,High Engagement,1
